app_name,category,duration,date,notes
TikTok,Social,100,01/05/2026,TikTok usage log
YouTube,Entertainment,173,04/05/2026,YouTube usage log
Facebook,Social,98,05/05/2026,Facebook usage log
Instagram,Social,107,06/05/2026,Instagram usage log
Mobile Games,Gaming,176,07/05/2026,Mobile Games usage log
VS Code,Work,184,08/05/2026,VS Code usage log
Google Chrome,Work/Study,114,11/05/2026,Google Chrome usage log
TikTok,Social,143,12/05/2026,TikTok usage log
YouTube,Entertainment,111,13/05/2026,YouTube usage log
Facebook,Social,198,14/05/2026,Facebook usage log
Instagram,Social,159,15/05/2026,Instagram usage log
Mobile Games,Gaming,174,18/05/2026,Mobile Games usage log
VS Code,Work,119,19/05/2026,VS Code usage log
Google Chrome,Work/Study,145,20/05/2026,Google Chrome usage log
TikTok,Social,161,21/05/2026,TikTok usage log
YouTube,Entertainment,111,22/05/2026,YouTube usage log
Facebook,Social,198,25/05/2026,Facebook usage log
Instagram,Social,95,26/05/2026,Instagram usage log
Mobile Games,Gaming,155,27/05/2026,Mobile Games usage log
VS Code,Work,157,28/05/2026,VS Code usage log
Google Chrome,Work/Study,65,29/05/2026,Google Chrome usage log
TikTok,Social,109,01/06/2026,TikTok usage log
YouTube,Entertainment,92,02/06/2026,YouTube usage log
Facebook,Social,192,03/06/2026,Facebook usage log
Instagram,Social,168,04/06/2026,Instagram usage log
Mobile Games,Gaming,174,05/06/2026,Mobile Games usage log
VS Code,Work,167,08/06/2026,VS Code usage log
Google Chrome,Work/Study,103,09/06/2026,Google Chrome usage log
TikTok,Social,170,10/06/2026,TikTok usage log
YouTube,Entertainment,90,11/06/2026,YouTube usage log
Facebook,Social,166,12/06/2026,Facebook usage log
Instagram,Social,112,15/06/2026,Instagram usage log
Mobile Games,Gaming,178,16/06/2026,Mobile Games usage log
VS Code,Work,148,17/06/2026,VS Code usage log
Google Chrome,Work/Study,62,18/06/2026,Google Chrome usage log
TikTok,Social,126,19/06/2026,TikTok usage log
YouTube,Entertainment,98,22/06/2026,YouTube usage log
Facebook,Social,171,23/06/2026,Facebook usage log
Instagram,Social,174,24/06/2026,Instagram usage log
Mobile Games,Gaming,131,25/06/2026,Mobile Games usage log
VS Code,Work,87,26/06/2026,VS Code usage log
Google Chrome,Work/Study,134,29/06/2026,Google Chrome usage log
TikTok,Social,144,30/06/2026,TikTok usage log
YouTube,Entertainment,140,01/07/2026,YouTube usage log
Facebook,Social,211,02/07/2026,Facebook usage log
Instagram,Social,168,03/07/2026,Instagram usage log
Mobile Games,Gaming,158,06/07/2026,Mobile Games usage log
VS Code,Work,179,07/07/2026,VS Code usage log
Google Chrome,Work/Study,117,08/07/2026,Google Chrome usage log
TikTok,Social,179,09/07/2026,TikTok usage log
YouTube,Entertainment,119,10/07/2026,YouTube usage log
Facebook,Social,198,13/07/2026,Facebook usage log
Instagram,Social,112,14/07/2026,Instagram usage log
Mobile Games,Gaming,106,15/07/2026,Mobile Games usage log
VS Code,Work,132,16/07/2026,VS Code usage log
Google Chrome,Work/Study,132,17/07/2026,Google Chrome usage log
TikTok,Social,172,20/07/2026,TikTok usage log
YouTube,Entertainment,133,21/07/2026,YouTube usage log
Facebook,Social,132,22/07/2026,Facebook usage log
Instagram,Social,198,23/07/2026,Instagram usage log
Mobile Games,Gaming,200,24/07/2026,Mobile Games usage log
VS Code,Work,75,27/07/2026,VS Code usage log
Google Chrome,Work/Study,124,28/07/2026,Google Chrome usage log
TikTok,Social,106,29/07/2026,TikTok usage log
YouTube,Entertainment,101,30/07/2026,YouTube usage log
Facebook,Social,195,31/07/2026,Facebook usage log
Instagram,Social,121,03/08/2026,Instagram usage log
Mobile Games,Gaming,123,04/08/2026,Mobile Games usage log
VS Code,Work,111,05/08/2026,VS Code usage log
Google Chrome,Work/Study,86,06/08/2026,Google Chrome usage log
TikTok,Social,126,07/08/2026,TikTok usage log
YouTube,Entertainment,111,10/08/2026,YouTube usage log
Facebook,Social,126,11/08/2026,Facebook usage log
Instagram,Social,140,12/08/2026,Instagram usage log
Mobile Games,Gaming,161,13/08/2026,Mobile Games usage log
VS Code,Work,96,14/08/2026,VS Code usage log
Google Chrome,Work/Study,132,17/08/2026,Google Chrome usage log
TikTok,Social,216,18/08/2026,TikTok usage log
YouTube,Entertainment,145,19/08/2026,YouTube usage log
Facebook,Social,153,20/08/2026,Facebook usage log
Instagram,Social,185,21/08/2026,Instagram usage log
Mobile Games,Gaming,113,24/08/2026,Mobile Games usage log
VS Code,Work,123,25/08/2026,VS Code usage log
Google Chrome,Work/Study,127,26/08/2026,Google Chrome usage log
TikTok,Social,160,27/08/2026,TikTok usage log
YouTube,Entertainment,124,28/08/2026,YouTube usage log
Facebook,Social,187,31/08/2026,Facebook usage log
Instagram,Social,126,01/09/2026,Instagram usage log
Mobile Games,Gaming,132,02/09/2026,Mobile Games usage log
VS Code,Work,149,03/09/2026,VS Code usage log
Google Chrome,Work/Study,137,04/09/2026,Google Chrome usage log
TikTok,Social,199,07/09/2026,TikTok usage log
YouTube,Entertainment,94,08/09/2026,YouTube usage log
Facebook,Social,117,09/09/2026,Facebook usage log
Instagram,Social,149,10/09/2026,Instagram usage log
Mobile Games,Gaming,116,11/09/2026,Mobile Games usage log
VS Code,Work,168,14/09/2026,VS Code usage log
Google Chrome,Work/Study,90,15/09/2026,Google Chrome usage log
